ID,Group,Feature_1,Feature_2,Feature_3
ID000,A,2231.8984562913756,406.9530964784236,4675.4649342804805
ID001,B,2295.92691176332,403.5772095232111,4598.4500322249305
ID002,A,2558.2619932262264,374.82333732966833,5797.962026860007
ID003,B,2209.750780528341,388.57435087518843,4421.3164888092
ID004,B,2820.477907083123,408.62278542603036,5654.617634398117
ID005,C,2863.9262818142206,383.44545293445316,-2468.748603078279
ID006,A,2843.415640714766,404.440996355981,6508.344484262315
ID007,C,3003.5213346120227,388.4202073171804,-2601.480219975384
ID008,A,2643.521463949725,407.87443013557595,5897.467035368384
ID009,A,2527.521295526602,413.96978563315974,5512.190085112322
ID010,A,2512.796043059738,372.60818829001914,5678.655325158819
ID011,C,2909.2755211689873,380.63521328139956,-2511.9386776561814
ID012,B,2829.876671645897,421.7894955397398,5670.79324293755
ID013,C,2311.679667670685,374.04122769007733,-1943.0549079130901
ID014,C,2461.2049540392495,398.021881123792,-2073.8277544612915
ID015,A,2230.438176162352,397.49868585577184,4702.656482961621
ID016,B,3079.1943158009085,401.38682062404257,6171.185936448832
ID017,B,2559.5819539167483,367.4314469785443,5117.612421805767
ID018,B,2456.257824222006,420.82710999380873,4908.858776761452
ID019,B,2434.2656646464657,411.614876539241,4868.141902296923
ID020,A,3028.749331107576,414.08948143556336,7021.002046796997
ID021,B,2115.328160031316,406.6438884345821,4244.731592399084
ID022,A,2580.9480383443174,389.3215853124344,5827.536100632294
ID023,A,2763.6095787596673,415.4260173727738,6213.231778044041
ID024,B,2502.3898820949466,432.3304418336478,5013.309532895441
ID025,C,2826.571875732566,391.1435532356757,-2429.7333884217646
ID026,A,2523.6934907920786,404.4908060661005,5572.378246545485
ID027,C,2741.824699557047,389.66319218959416,-2359.915855591771
ID028,A,2655.7314756844903,391.9889729193471,6010.05128737565
ID029,B,2461.8146650591834,407.6833630448192,4942.398767320613
ID030,B,2247.704796739113,409.08672537679377,4491.786886955624
ID031,C,2351.408139757915,361.4093625980974,-2003.6724496854338
ID032,A,2458.893998539766,420.9158484508998,5274.799585479963
ID033,B,2796.227348538166,396.63810379719257,5586.426707995693
ID034,B,2284.4350954521105,394.32592807016067,4585.377894036787
ID035,B,3081.410494202987,393.4926363793927,6141.236687497495
ID036,A,2566.1173932792044,430.41048149878753,5551.012571782661
ID037,C,2357.4715328897964,405.0153029392398,-1974.937639773479
ID038,A,2571.5961967465614,408.57094725411423,5684.635572348379
ID039,C,2621.6927308355594,399.446645340807,-2232.866512668532
ID040,C,2589.8976189076006,411.73136100365906,-2184.600565549289
ID041,A,2707.3495123655975,388.4216695174326,6182.356642282248
ID042,C,1928.2488376222348,402.65639642256565,-1534.0036563575845
ID043,A,2584.6132980719944,415.8435997153113,5662.079630440202
ID044,A,1813.7080222127229,434.04039337078166,3271.6773062934926
ID045,A,2334.5577624422017,384.50681680960776,5107.311714184365
ID046,B,2862.2861995086605,424.0645405356702,5702.1284729605295
ID047,B,2154.4605801757616,368.9610496742545,4316.025595897774
ID048,C,2546.5547787718792,373.2400847074655,-2188.920697560328
ID049,A,2310.3972831086267,377.6666941160538,5065.020363085395
ID050,A,1954.9682001679835,391.36832551798665,3914.969824224224
ID051,B,2443.595530282012,404.14140279502516,4873.92593398263
ID052,A,2526.720014318433,403.88743416585004,5575.808041911869
ID053,B,2018.3818293113538,396.3089368441231,4030.0875418575492
ID054,C,2287.745323744966,388.6739206212257,-1895.9629698992246
ID055,C,1855.2686630874937,414.0484827757833,-1473.0152716441803
ID056,A,2537.89112597084,409.99627405364765,5560.553375100799
ID057,B,2486.911269833151,397.12024166364927,4991.13295091676
ID058,B,2803.814505606481,406.35051412433575,5623.59221668717
ID059,B,1977.2988640032045,417.6652319441552,3932.441204570515
ID060,B,2179.4576862682748,427.730062394735,4371.8690440008195
ID061,C,2996.6048199964175,388.9575636575916,-2593.190057375277
ID062,C,2755.5795931602156,404.2078943943618,-2351.4752789971267
ID063,C,2911.2946494698767,403.9190652166724,-2507.15392115321
ID064,A,2582.2223595956175,384.10942800432554,5831.715161602951
ID065,C,2621.1427086835315,391.7855971086047,-2232.14985426894
ID066,B,2187.991403927187,409.159638267723,4368.996196722502
ID067,A,2876.0154468542405,410.37570131530407,6583.2171473974995
ID068,B,2379.332554856945,405.5394606956827,4777.574283642167
ID069,C,2040.0953462499178,400.1930852206866,-1634.5128222421815
ID070,A,2963.8736669813907,390.1600284765975,6930.403296367891
ID071,A,2537.363993390154,404.94529062794237,5564.03338639561
ID072,C,2561.9649544441036,370.9584191588007,-2203.898509243133
ID073,A,2228.5016360891814,423.97305304808197,4595.1917417368695
ID074,A,2696.349437570033,407.40295924528414,6029.226059218375
ID075,A,2638.399313975466,404.22133261974653,5884.9121227455935
ID076,A,2003.6226320587539,408.36113306699474,3985.181200448824
ID077,A,2084.3709642322738,406.4526650534819,4227.225933514838
ID078,A,2633.3894928058085,360.7810471500371,6110.82703711863
ID079,C,2245.971478755548,407.20158678970483,-1828.6852014254855
ID080,A,2767.982907314193,388.76820421866296,6363.326177908736
ID081,C,2616.028349408693,384.2890029229381,-2231.151373356033
ID082,B,2498.45971844224,398.2742146378505,4983.380035650896
ID083,B,2220.9580015461274,403.73492145952906,4441.8959564565685
ID084,B,2051.77794443256,396.70324096159294,4114.226114425627
ID085,A,2640.6217804988773,403.29597898098626,5924.858946127388
ID086,B,2566.7002446506776,390.1737418795723,5147.112257627276
ID087,B,2438.606054193107,388.12123734300746,4904.251149252672
ID088,B,2486.0669430941093,396.7013521547719,4978.557805289491
ID089,A,2290.6348774889875,404.32205354631435,4832.669543531765
ID090,B,2466.189505443587,408.4914090711468,4916.053861649024
ID091,C,2197.520546437723,408.2013421516536,-1782.4554351908102
ID092,A,2484.119864637777,410.59570827211724,5362.729086827085
ID093,B,2599.9017225718117,387.6671445244003,5177.788538874133
ID094,C,2305.3054711296772,390.6009906357317,-1898.1474348801175
ID095,A,2037.0830698864715,386.62757664695204,4175.553727297195
ID096,C,2997.838100448838,394.516331968741,-2584.024421647757
ID097,A,2208.972333314675,394.41655960697994,4652.7199542370545
ID098,B,2887.70048881206,385.1209658333463,5776.849829452388
ID099,C,2218.3714278646053,399.2968066714376,-1834.1906540059206
ID100,C,2136.2401290475664,388.8517151567409,-1752.4589369517328
ID101,B,3002.0942436168903,372.92096981684995,6009.287665966426
ID102,A,3092.61753527316,398.94858979683175,7310.842326597365
ID103,B,2146.896383810826,395.52333539315515,4284.874469021779
ID104,B,2885.8386134119664,399.7833354657884,5778.5710224696495
ID105,A,2761.532047132182,386.3054271017602,6344.605646257889
ID106,C,2204.2120109507077,406.4010975699719,-1822.4886775092916
ID107,C,2528.037839490335,406.54816835905257,-2126.275107057857
ID108,C,2014.1075963246237,402.6989830077122,-1613.4909513453574
ID109,C,2012.372173566979,388.81371717166854,-1635.3966997341781
